@RELATION TELEFONCULAR
@ATTRIBUTE Ekran_Boyutu_inc REAL
@ATTRIBUTE Hafiza_GB REAL	
@ATTRIBUTE Ram_GB REAL
@ATTRIBUTE Batarya_mAh INTEGER
@ATTRIBUTE Hat_Sayisi INTEGER
@ATTRIBUTE Hizli_Sarj INTEGER
@ATTRIBUTE 4_5G REAL
@ATTRIBUTE 5G REAL
@ATTRIBUTE CPU_cekirdek REAL
@ATTRIBUTE SAR_W/kg REAL
@ATTRIBUTE Ekran_orani REAL
@ATTRIBUTE Degisir_Batarya INTEGER
@ATTRIBUTE Kamera_cozunurlugu_MP REAL
@ATTRIBUTE Ekran_Cozunurlugu REAL
@ATTRIBUTE Parmak_Izi_Okuyucu REAL
@ATTRIBUTE Okuyucu REAL
@ATTRIBUTE Class {1,2,3,4,5}

@Data
4.8,16,1,2100,1,0,0,0,4,0.54,65.86,1,8,6,0,0,2
4.8,32,1,2100,1,0,0,0,4,0.54,65.86,1,8,6,0,0,2
4.95,16,2,2300,1,0,0,0,4,0.49,70.78,0,8,7,0,0,2
4.95,32,2,2300,1,0,0,0,4,0.49,70.78,0,8,7,0,0,2
5.0,4,0.5,2000,2,0,0,0,2,0.402,62.66,1,5,4,0,0,1
5.0,4,0.8,2000,2,0,0,0,2,0.67,64.77,1,5,4,0,0,1
5.0,4,1,2540,1,0,0,0,2,0.304,69.3,1,5,4,0,0,1
5.0,4,1,2540,2,0,0,0,2,0.304,69.3,1,5,4,0,0,1
5.0,4,0.5,2000,2,0,0,0,2,0.65,61.4,1,5,4,0,0,1
5.0,8,1,2100,1,0,0,0,4,0.21,64.23,1,5,4,0,0,1
5.0,4,1,2150,1,0,0,0,4,0.39,65.94,1,5,5,0,0,1
5.0,8,1,2000,2,0,0,0,4,0.591,67.9,1,8,6,0,0,1
5.0,8,1,1950,2,0,0,0,4,0.625,64.62,1,8,5,0,0,1
5.0,4,1,2000,2,0,0,0,4,0.908,65.11,1,8,6,0,0,1
5.0,8,1,2200,1,0,0,0,4,0.366,67.64,1,8,5,0,0,1
5.0,8,1,2200,1,0,0,0,4,0.366,67.6,1,8,5,0,0,1
5.0,8,1,2100,2,0,0,0,2,0.28,64.48,1,8,4,0,0,1
5.0,4,1,3000,1,0,1,0,4,0.31,68.46,1,5,5,0,0,1
5.0,8,1,2300,2,0,0,0,4,0.377,65.22,1,5,4,0,0,1
5.0,8,1,2600,2,0,0,0,4,0.622,66.01,1,8,5,0,0,1
5.0,8,1,2000,2,0,1,0,4,0.65,67.03,1,8,5,0,0,1
5.0,8,1,2000,2,0,1,0,4,0.65,67.03,1,8,5,0,0,1
5.0,8,1,2000,2,0,0,0,4,0.36,68.65,1,8,6,0,0,1
5.0,4,1,4000,2,0,0,0,4,0.397,65.29,1,8,5,0,0,1
5.0,8,2,2150,2,0,0,0,4,0.401,66.43,1,8,6,0,0,1
5.0,8,1,2600,2,0,0,0,4,0.412,66.01,1,8,5,0,0,1
5.0,8,1,2000,2,0,0,0,4,0.58,64.68,1,13,6,0,0,1
5.0,8,1,2000,2,0,0,0,4,0.694,64.62,1,13,6,0,0,1
5.0,8,1,2800,1,0,0,0,4,0.211,67.88,0,8,6,0,0,1
5.0,8,1.5,2125,1,0,1,0,4,0.523,66.66,1,8,6,0,0,1
5.0,16,1,2300,1,0,1,0,4,1.253,68.8,0,13,6,0,0,1
5.0,16,1,2300,1,0,1,0,4,1.025,68.8,0,13,6,0,0,1
5.0,8,1,2600,1,0,1,0,4,0.284,66.01,1,8,5,0,0,1
5.0,8,1,2600,1,0,1,0,4,0.309,66.01,1,8,5,0,0,1
5.0,16,1,2000,2,0,0,0,4,0.31,66.47,1,13,7,0,0,1
5.0,16,1,2300,2,0,0,0,8,0.457,68.31,0,13,6,0,0,1
5.0,8,1.5,2600,2,0,1,0,4,0.530,66.01,1,8,5,0,0,1
5.0,8,1.5,2600,1,0,1,0,4,0.530,66.01,1,8,5,0,0,1
5.0,8,1.5,2600,2,0,1,0,4,0.530,66.01,1,8,5,0,0,1
5.0,8,1,2540,1,0,0,0,4,0.601,70.58,1,8,6,0,0,1
5.0,8,1,2100,1,0,1,0,4,1.57,69.14,1,13,6,0,0,1
5.0,16,1,2250,2,0,0,0,8,0.22,67.88,1,13,6,1,1,2
5.0,16,2,2000,2,0,1,0,4,0.259,67.31,0,13,6,0,0,2
5.0,16,1,2000,1,0,0,0,4,0.320,69.35,0,13,6,0,0,2
5.0,8,1,4000,2,0,0,1,2,0.378,68.95,0,8,6,0,0,2
